Metric,Baseline,BODHI,Δ [95% CI],Seeds↑,Cohen's d,Sig.
Overall Score,2.5 ± 1.8%,19.1 ± 1.0%,"+16.6 [15.5, 17.7]",5/5,11.56,✓
Accuracy,18.6 ± 3.3%,27.7 ± 5.7%,"+9.1 [6.2, 12.1]",5/5,1.94,✓
Completeness,0.0 ± 0.0%,14.1 ± 3.0%,"+14.1 [11.8, 16.6]",5/5,6.64,✓
Context Awareness,0.0 ± 0.0%,15.8 ± 4.2%,"+15.8 [12.2, 18.8]",5/5,5.39,✓
Communication Quality,70.1 ± 5.4%,57.5 ± 2.6%,"-12.5 [-14.8, -10.1]",0/5,-2.94,
Instruction Following,38.0 ± 10.4%,43.2 ± 13.7%,"+5.2 [-0.0, 10.5]",3/5,0.43,
Context Seeking (Theme),2.5 ± 3.1%,27.5 ± 4.5%,"+25.0 [21.2, 30.0]",5/5,6.49,✓
Context-Seeking Rate,7.8 ± 6.8%,97.3 ± 3.7%,"+89.6 [81.4, 96.2]",5/5,16.38,✓
Helpful & Safe,79.0 ± 4.8%,98.6 ± 3.2%,"+19.5 [15.0, 24.0]",5/5,4.79,✓
Emergency Referrals,12.9 ± 4.8%,28.3 ± 5.2%,"+15.4 [11.1, 20.1]",5/5,3.09,✓
Hedging,1.7 ± 1.7%,21.9 ± 4.6%,"+20.3 [17.1, 23.4]",5/5,5.80,✓
